Date,Ingredient,Price_Per_Unit
2024-01-17,Butter,496.78
2024-01-17,Sugar,41.05
2024-01-17,Eggs,6.03
2024-01-17,Cocoa,711.49
2024-01-18,Flour,42.72
2024-01-18,Butter,492.01
2024-01-18,Sugar,41.04
2024-01-18,Eggs,5.97
2024-01-18,Cocoa,709.86
2024-01-19,Flour,43.24
2024-01-19,Butter,494.91
2024-01-19,Sugar,42.11
2024-01-19,Eggs,6.05
2024-01-19,Cocoa,709.99
2024-01-20,Flour,43.58
2024-01-20,Butter,493.64
2024-01-20,Sugar,41.63
2024-01-20,Eggs,6.12
2024-01-20,Cocoa,715.34
2024-01-21,Flour,43.5
2024-01-21,Butter,494.68
2024-01-21,Sugar,42.16
2024-01-21,Eggs,6.17
2024-01-21,Cocoa,704.53
2024-01-22,Flour,43.63
2024-01-22,Butter,493.58
2024-01-22,Sugar,42.62
2024-01-22,Eggs,6.23
2024-01-22,Cocoa,712.01
2024-01-23,Flour,43.16
2024-01-23,Butter,489.55
2024-01-23,Sugar,43.08
2024-01-23,Eggs,6.19
2024-01-23,Cocoa,700.88
2024-01-24,Flour,43.44
2024-01-24,Butter,486.73
2024-01-24,Sugar,43.81
2024-01-24,Eggs,6.2
2024-01-24,Cocoa,700.9
2024-01-25,Flour,43.3
2024-01-25,Butter,494.23
2024-01-25,Sugar,43.92
2024-01-25,Eggs,6.18
2024-01-25,Cocoa,694.72
2024-01-26,Flour,43.3
2024-01-26,Butter,489.25
2024-01-26,Sugar,44.32
2024-01-26,Eggs,6.06
2024-01-26,Cocoa,692.92
2024-01-27,Flour,43.61
2024-01-27,Butter,490.71
2024-01-27,Sugar,43.97
2024-01-27,Eggs,6.1
2024-01-27,Cocoa,686.3
2024-01-28,Flour,43.63
2024-01-28,Butter,493.63
2024-01-28,Sugar,44.12
2024-01-28,Eggs,6.06
2024-01-28,Cocoa,693.36
2024-01-29,Flour,43.69
2024-01-29,Butter,496.92
2024-01-29,Sugar,44.72
2024-01-29,Eggs,6.13
2024-01-29,Cocoa,699.78
2024-01-30,Flour,43.81
2024-01-30,Butter,500.39
2024-01-30,Sugar,44.76
2024-01-30,Eggs,6.05
2024-01-30,Cocoa,700.75
2024-01-31,Flour,43.95
2024-01-31,Butter,502.79
2024-01-31,Sugar,44.65
2024-01-31,Eggs,6.0
2024-01-31,Cocoa,704.0
2024-02-01,Flour,43.38
2024-02-01,Butter,509.33
2024-02-01,Sugar,44.5
2024-02-01,Eggs,6.02
2024-02-01,Cocoa,706.55
2024-02-02,Flour,43.67
2024-02-02,Butter,501.98
2024-02-02,Sugar,44.8
2024-02-02,Eggs,6.04
2024-02-02,Cocoa,701.29
2024-02-03,Flour,43.36
2024-02-03,Butter,499.94
2024-02-03,Sugar,44.19
2024-02-03,Eggs,6.14
2024-02-03,Cocoa,709.92
2024-02-04,Flour,43.6
2024-02-04,Butter,498.47
2024-02-04,Sugar,44.07
2024-02-04,Eggs,6.18
2024-02-04,Cocoa,720.15
2024-02-05,Flour,43.37
2024-02-05,Butter,492.73
2024-02-05,Sugar,44.68
2024-02-05,Eggs,6.07
2024-02-05,Cocoa,712.19
2024-02-06,Flour,43.29
2024-02-06,Butter,484.99
2024-02-06,Sugar,45.09
2024-02-06,Eggs,6.12
2024-02-06,Cocoa,707.21
2024-02-07,Flour,43.9
2024-02-07,Butter,491.85
2024-02-07,Sugar,44.98
2024-02-07,Eggs,6.09
2024-02-07,Cocoa,720.76
2024-02-08,Flour,44.25
2024-02-08,Butter,492.84
2024-02-08,Sugar,45.49
2024-02-08,Eggs,6.11
2024-02-08,Cocoa,716.06
2024-02-09,Flour,44.3
2024-02-09,Butter,497.57
2024-02-09,Sugar,44.59
2024-02-09,Eggs,6.09
2024-02-09,Cocoa,723.72
2024-02-10,Flour,44.08
2024-02-10,Butter,504.64
2024-02-10,Sugar,45.13
2024-02-10,Eggs,6.08
2024-02-10,Cocoa,718.55
2024-02-11,Flour,43.97
2024-02-11,Butter,516.94
2024-02-11,Sugar,45.85
2024-02-11,Eggs,6.09
2024-02-11,Cocoa,713.23
2024-02-12,Flour,44.05
2024-02-12,Butter,517.37
2024-02-12,Sugar,45.25
2024-02-12,Eggs,6.09
2024-02-12,Cocoa,720.56
2024-02-13,Flour,43.26
2024-02-13,Butter,520.59
2024-02-13,Sugar,45.77
2024-02-13,Eggs,6.06
2024-02-13,Cocoa,730.16
2024-02-14,Flour,42.98
2024-02-14,Butter,521.89
2024-02-14,Sugar,45.56
2024-02-14,Eggs,6.04
2024-02-14,Cocoa,724.55
2024-02-15,Flour,43.33
2024-02-15,Butter,525.13
2024-02-15,Sugar,45.46
2024-02-15,Eggs,5.95
2024-02-15,Cocoa,725.68
2024-02-16,Flour,43.56
2024-02-16,Butter,523.19
2024-02-16,Sugar,46.18
2024-02-16,Eggs,5.86
2024-02-16,Cocoa,709.75
2024-02-17,Flour,43.26
2024-02-17,Butter,525.73
2024-02-17,Sugar,45.65
2024-02-17,Eggs,5.81
2024-02-17,Cocoa,714.74
2024-02-18,Flour,43.5
2024-02-18,Butter,526.63
2024-02-18,Sugar,45.91
2024-02-18,Eggs,5.78
2024-02-18,Cocoa,710.98
2024-02-19,Flour,43.9
2024-02-19,Butter,519.24
2024-02-19,Sugar,44.93
2024-02-19,Eggs,5.76
2024-02-19,Cocoa,715.81
2024-02-20,Flour,44.03
2024-02-20,Butter,522.57
2024-02-20,Sugar,44.02
2024-02-20,Eggs,5.79
2024-02-20,Cocoa,718.74
2024-02-21,Flour,43.44
2024-02-21,Butter,525.86
2024-02-21,Sugar,43.94
2024-02-21,Eggs,5.97
2024-02-21,Cocoa,703.22
2024-02-22,Flour,44.09
2024-02-22,Butter,523.05
2024-02-22,Sugar,43.22
2024-02-22,Eggs,5.94
2024-02-22,Cocoa,703.96
2024-02-23,Flour,44.58
2024-02-23,Butter,530.45
2024-02-23,Sugar,43.79
2024-02-23,Eggs,5.89
2024-02-23,Cocoa,710.22
2024-02-24,Flour,44.76
2024-02-24,Butter,526.3
2024-02-24,Sugar,43.67
2024-02-24,Eggs,5.85
2024-02-24,Cocoa,709.26
2024-02-25,Flour,44.44
2024-02-25,Butter,520.44
2024-02-25,Sugar,43.83
2024-02-25,Eggs,5.89
2024-02-25,Cocoa,706.85
2024-02-26,Flour,45.06
2024-02-26,Butter,518.38
2024-02-26,Sugar,43.67
2024-02-26,Eggs,5.93
2024-02-26,Cocoa,704.86
2024-02-27,Flour,45.1
2024-02-27,Butter,505.52
2024-02-27,Sugar,43.64
2024-02-27,Eggs,5.82
2024-02-27,Cocoa,695.82
2024-02-28,Flour,44.5
2024-02-28,Butter,500.0
2024-02-28,Sugar,43.38
2024-02-28,Eggs,5.79
2024-02-28,Cocoa,699.22
2024-02-29,Flour,44.61
2024-02-29,Butter,490.48
2024-02-29,Sugar,43.39
2024-02-29,Eggs,5.82
2024-02-29,Cocoa,696.1
2024-03-01,Flour,44.59
2024-03-01,Butter,491.18
2024-03-01,Sugar,43.68
2024-03-01,Eggs,5.73
2024-03-01,Cocoa,693.59
2024-03-02,Flour,45.28
2024-03-02,Butter,497.76
2024-03-02,Sugar,44.01
2024-03-02,Eggs,5.76
2024-03-02,Cocoa,703.48
2024-03-03,Flour,46.13
2024-03-03,Butter,496.78
2024-03-03,Sugar,43.56
2024-03-03,Eggs,5.75
2024-03-03,Cocoa,722.54
2024-03-04,Flour,45.4
2024-03-04,Butter,494.19
2024-03-04,Sugar,42.93
2024-03-04,Eggs,5.77
2024-03-04,Cocoa,713.27
2024-03-05,Flour,45.35
2024-03-05,Butter,484.54
2024-03-05,Sugar,43.17
2024-03-05,Eggs,5.84
2024-03-05,Cocoa,709.51
2024-03-06,Flour,45.28
2024-03-06,Butter,483.67
2024-03-06,Sugar,43.23
2024-03-06,Eggs,5.84
2024-03-06,Cocoa,713.31
2024-03-07,Flour,45.83
2024-03-07,Butter,479.69
2024-03-07,Sugar,43.07
2024-03-07,Eggs,5.9
2024-03-07,Cocoa,702.8
2024-03-08,Flour,44.92
2024-03-08,Butter,480.78
2024-03-08,Sugar,43.26
2024-03-08,Eggs,5.86
2024-03-08,Cocoa,697.99
2024-03-09,Flour,44.58
2024-03-09,Butter,476.6
2024-03-09,Sugar,43.53
2024-03-09,Eggs,5.79
2024-03-09,Cocoa,695.3
2024-03-10,Flour,44.19
2024-03-10,Butter,469.69
2024-03-10,Sugar,43.86
2024-03-10,Eggs,5.77
2024-03-10,Cocoa,695.62
2024-03-11,Flour,43.52
2024-03-11,Butter,466.33
2024-03-11,Sugar,44.14
2024-03-11,Eggs,5.93
2024-03-11,Cocoa,681.86
2024-03-12,Flour,43.46
2024-03-12,Butter,468.58
2024-03-12,Sugar,43.84
2024-03-12,Eggs,5.98
2024-03-12,Cocoa,675.59
2024-03-13,Flour,43.56
2024-03-13,Butter,466.31
2024-03-13,Sugar,44.31
2024-03-13,Eggs,5.94
2024-03-13,Cocoa,672.79
2024-03-14,Flour,44.02
2024-03-14,Butter,461.64
2024-03-14,Sugar,44.3
2024-03-14,Eggs,5.83
2024-03-14,Cocoa,665.26
2024-03-15,Flour,44.21
2024-03-15,Butter,457.26
2024-03-15,Sugar,44.02
2024-03-15,Eggs,5.86
2024-03-15,Cocoa,661.19
2024-03-16,Flour,44.59
2024-03-16,Butter,458.75
2024-03-16,Sugar,44.17
2024-03-16,Eggs,5.94
2024-03-16,Cocoa,663.05
2024-03-17,Flour,45.29
2024-03-17,Butter,463.55
2024-03-17,Sugar,43.9
2024-03-17,Eggs,6.02
2024-03-17,Cocoa,664.5
2024-03-18,Flour,45.11
2024-03-18,Butter,465.21
2024-03-18,Sugar,44.33
2024-03-18,Eggs,6.05
2024-03-18,Cocoa,676.06
2024-03-19,Flour,45.6
2024-03-19,Butter,468.02
2024-03-19,Sugar,43.85
2024-03-19,Eggs,6.03
2024-03-19,Cocoa,676.0
2024-03-20,Flour,45.9
2024-03-20,Butter,471.32
2024-03-20,Sugar,43.89
2024-03-20,Eggs,6.04
2024-03-20,Cocoa,680.17
2024-03-21,Flour,45.5
2024-03-21,Butter,479.63
2024-03-21,Sugar,42.99
2024-03-21,Eggs,6.13
2024-03-21,Cocoa,679.27
2024-03-22,Flour,45.94
2024-03-22,Butter,481.38
2024-03-22,Sugar,43.12
2024-03-22,Eggs,6.16
2024-03-22,Cocoa,683.94
2024-03-23,Flour,45.77
2024-03-23,Butter,486.32
2024-03-23,Sugar,42.64
2024-03-23,Eggs,6.15
2024-03-23,Cocoa,688.7
2024-03-24,Flour,46.2
2024-03-24,Butter,488.41
2024-03-24,Sugar,42.46
2024-03-24,Eggs,6.2
2024-03-24,Cocoa,683.57
2024-03-25,Flour,46.97
2024-03-25,Butter,487.83
2024-03-25,Sugar,41.8
2024-03-25,Eggs,6.13
2024-03-25,Cocoa,683.18
2024-03-26,Flour,46.99
2024-03-26,Butter,497.13
2024-03-26,Sugar,41.37
2024-03-26,Eggs,6.13
2024-03-26,Cocoa,675.63
2024-03-27,Flour,46.73
2024-03-27,Butter,504.87
2024-03-27,Sugar,40.91
2024-03-27,Eggs,6.16
2024-03-27,Cocoa,677.68
2024-03-28,Flour,46.68
2024-03-28,Butter,506.87
2024-03-28,Sugar,40.44
2024-03-28,Eggs,6.26
2024-03-28,Cocoa,689.63
2024-03-29,Flour,46.67
2024-03-29,Butter,517.96
2024-03-29,Sugar,40.31
2024-03-29,Eggs,6.28
2024-03-29,Cocoa,698.15
2024-03-30,Flour,46.43
2024-03-30,Butter,510.57
2024-03-30,Sugar,39.66
2024-03-30,Eggs,6.39
2024-03-30,Cocoa,693.75
2024-03-31,Flour,46.32
2024-03-31,Butter,504.62
2024-03-31,Sugar,40.11
2024-03-31,Eggs,6.34
2024-03-31,Cocoa,689.68
2024-04-01,Flour,46.43
2024-04-01,Butter,499.02
2024-04-01,Sugar,40.07
2024-04-01,Eggs,6.42
2024-04-01,Cocoa,691.67
2024-04-02,Flour,46.46
2024-04-02,Butter,499.67
2024-04-02,Sugar,39.95
2024-04-02,Eggs,6.53
2024-04-02,Cocoa,685.56
2024-04-03,Flour,46.52
2024-04-03,Butter,499.83
2024-04-03,Sugar,40.41
2024-04-03,Eggs,6.58
2024-04-03,Cocoa,684.64
2024-04-04,Flour,46.62
2024-04-04,Butter,501.01
2024-04-04,Sugar,39.49
2024-04-04,Eggs,6.48
2024-04-04,Cocoa,680.01
2024-04-05,Flour,46.34
2024-04-05,Butter,494.83
2024-04-05,Sugar,39.85
2024-04-05,Eggs,6.47
2024-04-05,Cocoa,678.02
2024-04-06,Flour,45.75
2024-04-06,Butter,494.32
2024-04-06,Sugar,38.79
2024-04-06,Eggs,6.45
2024-04-06,Cocoa,677.87
2024-04-07,Flour,45.84
2024-04-07,Butter,486.53
2024-04-07,Sugar,38.95
2024-04-07,Eggs,6.38
2024-04-07,Cocoa,672.03
2024-04-08,Flour,46.15
2024-04-08,Butter,496.06
2024-04-08,Sugar,39.03
2024-04-08,Eggs,6.32
2024-04-08,Cocoa,672.81
2024-04-09,Flour,46.55
2024-04-09,Butter,498.72
2024-04-09,Sugar,40.25
2024-04-09,Eggs,6.27
2024-04-09,Cocoa,674.0
2024-04-10,Flour,47.21
2024-04-10,Butter,505.48
2024-04-10,Sugar,39.46
2024-04-10,Eggs,6.27
2024-04-10,Cocoa,683.17
2024-04-11,Flour,48.47
2024-04-11,Butter,508.35
2024-04-11,Sugar,39.36
2024-04-11,Eggs,6.2
2024-04-11,Cocoa,696.92
2024-04-12,Flour,48.73
2024-04-12,Butter,503.71
2024-04-12,Sugar,39.32
2024-04-12,Eggs,6.21
2024-04-12,Cocoa,699.52
2024-04-13,Flour,48.25
2024-04-13,Butter,500.29
2024-04-13,Sugar,38.68
2024-04-13,Eggs,6.27
2024-04-13,Cocoa,696.31
2024-04-14,Flour,48.39
2024-04-14,Butter,506.71
2024-04-14,Sugar,38.84
2024-04-14,Eggs,6.26
2024-04-14,Cocoa,696.64
2024-04-15,Flour,48.35
2024-04-15,Butter,512.16
2024-04-15,Sugar,39.04
2024-04-15,Eggs,6.22
2024-04-15,Cocoa,702.52
2024-04-16,Flour,48.84
2024-04-16,Butter,505.09
2024-04-16,Sugar,39.74
2024-04-16,Eggs,6.24
2024-04-16,Cocoa,703.31
2024-04-17,Flour,49.22
2024-04-17,Butter,501.87
2024-04-17,Sugar,40.19
2024-04-17,Eggs,6.21
2024-04-17,Cocoa,692.66
2024-04-18,Flour,48.68
2024-04-18,Butter,504.15
2024-04-18,Sugar,39.82
2024-04-18,Eggs,6.3
2024-04-18,Cocoa,699.54
2024-04-19,Flour,49.21
2024-04-19,Butter,504.27
2024-04-19,Sugar,39.98
2024-04-19,Eggs,6.23
2024-04-19,Cocoa,705.02
2024-04-20,Flour,49.3
2024-04-20,Butter,506.51
2024-04-20,Sugar,40.73
2024-04-20,Eggs,6.19
2024-04-20,Cocoa,703.1
2024-04-21,Flour,49.36
2024-04-21,Butter,501.49
2024-04-21,Sugar,40.67
2024-04-21,Eggs,6.21
2024-04-21,Cocoa,699.92
2024-04-22,Flour,49.86
2024-04-22,Butter,493.8
2024-04-22,Sugar,41.17
2024-04-22,Eggs,6.25
2024-04-22,Cocoa,695.23
2024-04-23,Flour,49.35
2024-04-23,Butter,483.54
2024-04-23,Sugar,40.85
2024-04-23,Eggs,6.31
2024-04-23,Cocoa,693.96
2024-04-24,Flour,49.78
2024-04-24,Butter,480.5
2024-04-24,Sugar,41.17
2024-04-24,Eggs,6.26
2024-04-24,Cocoa,686.8
2024-04-25,Flour,49.64
2024-04-25,Butter,477.29
2024-04-25,Sugar,40.54
2024-04-25,Eggs,6.24
2024-04-25,Cocoa,686.76
2024-04-26,Flour,50.12
2024-04-26,Butter,481.85
2024-04-26,Sugar,41.08
2024-04-26,Eggs,6.28
2024-04-26,Cocoa,688.18
2024-04-27,Flour,49.46
2024-04-27,Butter,482.53
2024-04-27,Sugar,41.35
2024-04-27,Eggs,6.36
2024-04-27,Cocoa,691.88
2024-04-28,Flour,49.93
2024-04-28,Butter,477.52
2024-04-28,Sugar,41.23
2024-04-28,Eggs,6.38
2024-04-28,Cocoa,698.59
2024-04-29,Flour,49.77
2024-04-29,Butter,477.18
2024-04-29,Sugar,41.53
2024-04-29,Eggs,6.3
2024-04-29,Cocoa,708.07
2024-04-30,Flour,49.27
2024-04-30,Butter,468.02
2024-04-30,Sugar,41.55
2024-04-30,Eggs,6.4
2024-04-30,Cocoa,710.72
2024-05-01,Flour,49.53
2024-05-01,Butter,468.46
2024-05-01,Sugar,41.49
2024-05-01,Eggs,6.3
2024-05-01,Cocoa,694.82
2024-05-02,Flour,49.53
2024-05-02,Butter,474.99
2024-05-02,Sugar,41.65
2024-05-02,Eggs,6.33
2024-05-02,Cocoa,704.21
2024-05-03,Flour,49.58
2024-05-03,Butter,474.51
2024-05-03,Sugar,41.31
2024-05-03,Eggs,6.45
2024-05-03,Cocoa,706.55
2024-05-04,Flour,49.07
2024-05-04,Butter,468.99
2024-05-04,Sugar,41.85
2024-05-04,Eggs,6.37
2024-05-04,Cocoa,717.47
2024-05-05,Flour,47.74
2024-05-05,Butter,476.04
2024-05-05,Sugar,42.06
2024-05-05,Eggs,6.37
2024-05-05,Cocoa,714.98
2024-05-06,Flour,48.54
2024-05-06,Butter,479.52
2024-05-06,Sugar,41.68
2024-05-06,Eggs,6.26
2024-05-06,Cocoa,714.83
2024-05-07,Flour,48.47
2024-05-07,Butter,472.23
2024-05-07,Sugar,41.66
2024-05-07,Eggs,6.22
2024-05-07,Cocoa,713.6
2024-05-08,Flour,48.73
2024-05-08,Butter,479.55
2024-05-08,Sugar,42.05
2024-05-08,Eggs,6.18
2024-05-08,Cocoa,714.72
2024-05-09,Flour,48.68
2024-05-09,Butter,473.16
2024-05-09,Sugar,42.21
2024-05-09,Eggs,6.28
2024-05-09,Cocoa,713.64
2024-05-10,Flour,47.89
2024-05-10,Butter,473.45
2024-05-10,Sugar,41.7
2024-05-10,Eggs,6.33
2024-05-10,Cocoa,715.78
2024-05-11,Flour,47.75
2024-05-11,Butter,471.99
2024-05-11,Sugar,41.62
2024-05-11,Eggs,6.32
2024-05-11,Cocoa,709.44
2024-05-12,Flour,47.08
2024-05-12,Butter,477.61
2024-05-12,Sugar,41.46
2024-05-12,Eggs,6.33
2024-05-12,Cocoa,710.11
2024-05-13,Flour,47.18
2024-05-13,Butter,472.03
2024-05-13,Sugar,40.77
2024-05-13,Eggs,6.29
2024-05-13,Cocoa,711.48
2024-05-14,Flour,46.81
2024-05-14,Butter,470.48
2024-05-14,Sugar,41.69
2024-05-14,Eggs,6.17
2024-05-14,Cocoa,705.34
2024-05-15,Flour,47.62
2024-05-15,Butter,470.46
2024-05-15,Sugar,41.4
2024-05-15,Eggs,6.24
2024-05-15,Cocoa,704.59
2024-05-16,Flour,47.42
2024-05-16,Butter,471.57
2024-05-16,Sugar,41.13
2024-05-16,Eggs,6.17
2024-05-16,Cocoa,702.76
2024-05-17,Flour,46.91
2024-05-17,Butter,471.79
2024-05-17,Sugar,41.3
2024-05-17,Eggs,6.22
2024-05-17,Cocoa,709.04
2024-05-18,Flour,46.69
2024-05-18,Butter,474.35
2024-05-18,Sugar,41.52
2024-05-18,Eggs,6.23
2024-05-18,Cocoa,704.74
2024-05-19,Flour,46.19
2024-05-19,Butter,476.88
2024-05-19,Sugar,40.81
2024-05-19,Eggs,6.21
2024-05-19,Cocoa,687.05
2024-05-20,Flour,45.57
2024-05-20,Butter,472.73
2024-05-20,Sugar,41.3
2024-05-20,Eggs,6.25
2024-05-20,Cocoa,682.71
2024-05-21,Flour,45.89
2024-05-21,Butter,477.14
2024-05-21,Sugar,41.24
2024-05-21,Eggs,6.16
2024-05-21,Cocoa,680.7
2024-05-22,Flour,45.82
2024-05-22,Butter,471.28
2024-05-22,Sugar,41.41
2024-05-22,Eggs,6.17
2024-05-22,Cocoa,682.98
2024-05-23,Flour,45.93
2024-05-23,Butter,474.95
2024-05-23,Sugar,41.35
2024-05-23,Eggs,6.18
2024-05-23,Cocoa,679.74
2024-05-24,Flour,45.65
2024-05-24,Butter,481.48
2024-05-24,Sugar,40.5
2024-05-24,Eggs,6.23
2024-05-24,Cocoa,675.11
2024-05-25,Flour,45.3
2024-05-25,Butter,482.71
2024-05-25,Sugar,39.91
2024-05-25,Eggs,6.18
2024-05-25,Cocoa,669.09
2024-05-26,Flour,45.2
2024-05-26,Butter,478.79
2024-05-26,Sugar,40.62
2024-05-26,Eggs,6.28
2024-05-26,Cocoa,655.56
2024-05-27,Flour,45.44
2024-05-27,Butter,482.94
2024-05-27,Sugar,40.88
2024-05-27,Eggs,6.24
2024-05-27,Cocoa,653.86
2024-05-28,Flour,45.09
2024-05-28,Butter,480.86
2024-05-28,Sugar,40.39
2024-05-28,Eggs,6.23
2024-05-28,Cocoa,644.02
2024-05-29,Flour,45.0
2024-05-29,Butter,474.85
2024-05-29,Sugar,40.51
2024-05-29,Eggs,6.18
2024-05-29,Cocoa,646.03
2024-05-30,Flour,45.49
2024-05-30,Butter,482.58
2024-05-30,Sugar,39.48
2024-05-30,Eggs,6.13
2024-05-30,Cocoa,644.14
2024-05-31,Flour,45.68
2024-05-31,Butter,474.61
2024-05-31,Sugar,39.12
2024-05-31,Eggs,6.13
2024-05-31,Cocoa,644.81
2024-06-01,Flour,45.84
2024-06-01,Butter,476.85
2024-06-01,Sugar,39.32
2024-06-01,Eggs,6.14
2024-06-01,Cocoa,645.27
2024-06-02,Flour,46.12
2024-06-02,Butter,466.16
2024-06-02,Sugar,40.02
2024-06-02,Eggs,6.01
2024-06-02,Cocoa,638.35
2024-06-03,Flour,46.0
2024-06-03,Butter,469.67
2024-06-03,Sugar,38.8
2024-06-03,Eggs,6.0
2024-06-03,Cocoa,643.73
2024-06-04,Flour,46.43
2024-06-04,Butter,466.53
2024-06-04,Sugar,38.74
2024-06-04,Eggs,5.97
2024-06-04,Cocoa,641.31
2024-06-05,Flour,45.93
2024-06-05,Butter,462.53
2024-06-05,Sugar,38.99
2024-06-05,Eggs,5.98
2024-06-05,Cocoa,644.68
2024-06-06,Flour,46.01
2024-06-06,Butter,466.26
2024-06-06,Sugar,39.42
2024-06-06,Eggs,5.87
2024-06-06,Cocoa,639.23
2024-06-07,Flour,45.89
2024-06-07,Butter,466.42
2024-06-07,Sugar,39.19
2024-06-07,Eggs,5.93
2024-06-07,Cocoa,652.32
2024-06-08,Flour,45.95
2024-06-08,Butter,467.1
2024-06-08,Sugar,39.6
2024-06-08,Eggs,5.82
2024-06-08,Cocoa,652.45
2024-06-09,Flour,46.37
2024-06-09,Butter,464.27
2024-06-09,Sugar,39.13
2024-06-09,Eggs,5.81
2024-06-09,Cocoa,652.01
2024-06-10,Flour,45.94
2024-06-10,Butter,474.65
2024-06-10,Sugar,38.99
2024-06-10,Eggs,5.75
2024-06-10,Cocoa,651.36
2024-06-11,Flour,46.33
2024-06-11,Butter,474.84
2024-06-11,Sugar,39.25
2024-06-11,Eggs,5.7
2024-06-11,Cocoa,661.0
2024-06-12,Flour,46.55
2024-06-12,Butter,479.97
2024-06-12,Sugar,39.46
2024-06-12,Eggs,5.75
2024-06-12,Cocoa,655.11
2024-06-13,Flour,46.3
2024-06-13,Butter,486.43
2024-06-13,Sugar,40.17
2024-06-13,Eggs,5.69
2024-06-13,Cocoa,656.63
2024-06-14,Flour,46.08
2024-06-14,Butter,482.96
2024-06-14,Sugar,40.32
2024-06-14,Eggs,5.76
2024-06-14,Cocoa,659.43
2024-06-15,Flour,45.92
2024-06-15,Butter,485.37
2024-06-15,Sugar,40.21
2024-06-15,Eggs,5.79
2024-06-15,Cocoa,668.32
2024-06-16,Flour,44.96
2024-06-16,Butter,489.09
2024-06-16,Sugar,39.59
2024-06-16,Eggs,5.87
2024-06-16,Cocoa,663.82
2024-06-17,Flour,44.42
2024-06-17,Butter,492.25
2024-06-17,Sugar,39.8
2024-06-17,Eggs,5.81
2024-06-17,Cocoa,655.39
2024-06-18,Flour,44.34
2024-06-18,Butter,486.22
2024-06-18,Sugar,39.39
2024-06-18,Eggs,5.83
2024-06-18,Cocoa,649.01
2024-06-19,Flour,44.55
2024-06-19,Butter,493.25
2024-06-19,Sugar,39.38
2024-06-19,Eggs,5.84
2024-06-19,Cocoa,662.15
2024-06-20,Flour,44.02
2024-06-20,Butter,498.7
2024-06-20,Sugar,39.89
2024-06-20,Eggs,5.89
2024-06-20,Cocoa,670.3
2024-06-21,Flour,44.17
2024-06-21,Butter,495.53
2024-06-21,Sugar,40.39
2024-06-21,Eggs,5.96
2024-06-21,Cocoa,677.08
2024-06-22,Flour,44.2
2024-06-22,Butter,491.78
2024-06-22,Sugar,40.5
2024-06-22,Eggs,6.02
2024-06-22,Cocoa,683.19
2024-06-23,Flour,44.03
2024-06-23,Butter,493.06
2024-06-23,Sugar,39.98
2024-06-23,Eggs,6.08
2024-06-23,Cocoa,677.44
2024-06-24,Flour,44.4
2024-06-24,Butter,487.28
2024-06-24,Sugar,40.45
2024-06-24,Eggs,6.1
2024-06-24,Cocoa,671.81
2024-06-25,Flour,44.72
2024-06-25,Butter,484.3
2024-06-25,Sugar,40.8
